"","term","gene"
"233","aDC%IRIS%3.txt13","RAPGEF1"
"234","aDC%IRIS%3.txt14","HCK"
"235","aDC%IRIS%3.txt15","IL2RA"
"236","aDC%IRIS%3.txt16","IL3RA"
"237","aDC%IRIS%3.txt17","IL9"
"238","aDC%IRIS%3.txt18","IL10"
"239","aDC%IRIS%3.txt19","IL10RA"
"240","aDC%IRIS%3.txt20","IL12B"
"241","aDC%IRIS%3.txt21","IRF4"
"242","aDC%IRIS%3.txt22","RAB8A"
"243","aDC%IRIS%3.txt23","CXCL9"
"244","aDC%IRIS%3.txt24","MTF1"
"245","aDC%IRIS%3.txt25","NFE2L2"
"246","aDC%IRIS%3.txt26","NFKB1"
"247","aDC%IRIS%3.txt27","P2RX7"
"248","aDC%IRIS%3.txt28","PGK1"
"249","aDC%IRIS%3.txt29","MAP2K1"
"250","aDC%IRIS%3.txt30","PTGIR"
"251","aDC%IRIS%3.txt31","RELA"
"252","aDC%IRIS%3.txt32","CLIP1"
"253","aDC%IRIS%3.txt33","CCL7"
"254","aDC%IRIS%3.txt34","CCL8"
"255","aDC%IRIS%3.txt35","CCL17"
"256","aDC%IRIS%3.txt36","CCL19"
"257","aDC%IRIS%3.txt37","CCL23"
"258","aDC%IRIS%3.txt38","SLAMF1"
"259","aDC%IRIS%3.txt39","SLC1A2"
"260","aDC%IRIS%3.txt40","SLC6A12"
"261","aDC%IRIS%3.txt41","SIGLEC1"
"262","aDC%IRIS%3.txt42","SRC"
"263","aDC%IRIS%3.txt43","STAT2"
"264","aDC%IRIS%3.txt44","TRAF1"
"265","aDC%IRIS%3.txt45","TNFRSF4"
"266","aDC%IRIS%3.txt46","TXN"
"267","aDC%IRIS%3.txt47","ZBTB17"
"268","aDC%IRIS%3.txt48","ELL"
"269","aDC%IRIS%3.txt49","CUL1"
"270","aDC%IRIS%3.txt50","ALDH1A2"
"271","aDC%IRIS%3.txt51","SOCS3"
"272","aDC%IRIS%3.txt52","SPAG9"
"273","aDC%IRIS%3.txt53","TMSB10"
"274","aDC%IRIS%3.txt54","MAP3K13"
"275","aDC%IRIS%3.txt55","WTAP"
"276","aDC%IRIS%3.txt56","N4BP1"
"277","aDC%IRIS%3.txt57","ARHGEF11"
"278","aDC%IRIS%3.txt58","HS3ST3B1"
"279","aDC%IRIS%3.txt59","ABI1"
"280","aDC%IRIS%3.txt60","ARPC4"
"281","aDC%IRIS%3.txt61","MTHFD2"
"282","aDC%IRIS%3.txt62","SEC24A"
"283","aDC%IRIS%3.txt63","NEU3"
"284","aDC%IRIS%3.txt64","OGFR"
"285","aDC%IRIS%3.txt65","TFEC"
"286","aDC%IRIS%3.txt66","FAM175B"
"287","aDC%IRIS%3.txt67","TDRD7"
"288","aDC%IRIS%3.txt68","ACOT9"
"289","aDC%IRIS%3.txt69","NUP62"
"290","aDC%IRIS%3.txt70","ABTB2"
"291","aDC%IRIS%3.txt71","TRPC4AP"
"292","aDC%IRIS%3.txt72","FBXL4"
"293","aDC%IRIS%3.txt73","CYTH4"
"294","aDC%IRIS%3.txt74","TOR1B"
"295","aDC%IRIS%3.txt75","SNX11"
"296","aDC%IRIS%3.txt76","GPR132"
"297","aDC%IRIS%3.txt77","IL19"
"298","aDC%IRIS%3.txt78","CD209"
"299","aDC%IRIS%3.txt79","CHMP5"
"300","aDC%IRIS%3.txt80","AZIN1"
