,b cell,endothelial cell,epithelial cell,fibroblast,macrophage,nk cell,pericyte cell,smooth muscle,t cell
GTEX-T2IS-2226,-3.186468460116491,1.6418695702234045,-0.6620084712904734,2.8717130628171086,-0.02170244862993611,-2.858230128940746,-2.47313006118789,3.408134242208316,1.2798226949167086
GTEX-T5JW-1526,-3.0064464930222172,1.913962657630553,-0.4791408712630158,2.699457088145415,0.3677746789317653,-3.0064464930222172,-3.006446493022217,3.7972110393527023,0.7200748862692298
GTEX-T6MO-1526,-3.052839653364752,1.999305831210347,-0.6984247556320451,2.542514661342607,0.6078847416085743,-3.052839653364752,-3.052839653364752,3.735556841857052,0.9716816397077209
GTEX-TMMY-2226,-3.0131304972189796,2.0418511843554223,-0.4486394536280434,2.540777766979581,0.22814975085890116,-3.0131304972189796,-3.01313049721898,3.8104762871822757,0.8667759559088033
GTEX-TSE9-2626,-3.5453664155977607,1.7890326275648136,-0.5267899580113957,2.3043773412015853,-0.18003934878412814,-1.679302622787698,-2.6060791562723304,2.8707431150997,1.5734244175872132
GTEX-U3ZN-0726,-3.1255573161397523,1.991004763781936,-0.4378286809096465,2.9113314426309,0.40301335469855437,-3.1255573161397523,-3.1255573161397523,3.4331329114332485,1.0760181567842635
GTEX-W5WG-1326,-3.4490636566667012,1.839544842545473,-0.2318762126164656,2.3228802692235235,-0.2674009255565372,-1.6858006096373193,-2.9781789745496776,3.1061144784047836,1.3437807888529196
GTEX-W5X1-2126,-3.542575318064363,1.802901876383252,-0.6026905579401083,2.148916592758722,-0.18744045905614806,-1.9588071443933759,-2.364496044387077,2.879060629903261,1.8251304247958364
GTEX-WEY5-0726,-3.009018545639805,1.915525039415213,-0.6217342688785179,2.7340189776431805,0.6736525212254867,-3.009018545639805,-3.0090185456398055,3.775688122722874,0.5499052447911801
GTEX-WI4N-2426,-3.088980148466838,2.2940267395165774,-0.4687070534702094,2.404173999323377,0.7127223431511376,-3.088980148466838,-3.088980148466838,3.6602543279635773,0.6644700889160539
GTEX-WWYW-2826,-3.52168784793701,2.005988301223328,-0.8015240803314396,1.9875978892757806,-0.38073981011476504,-2.3121923450237847,-1.8949059147998681,2.826522541702712,2.0909412660050455
GTEX-WXYG-1326,-3.026250053124313,2.100658804951198,-0.6468405326013644,2.5603587574752327,0.4836797600184952,-3.026250053124313,-3.026250053124313,3.768179821061097,0.8127135484682816
GTEX-WYBS-2726,-3.4605531129146585,1.9786667861592213,-0.5579431860157543,2.0118274079627385,0.051414385510435374,-2.6324882007063835,-2.2838567972040233,3.0387573289451684,1.854175388263257
GTEX-WYVS-1226,-3.5063283891452075,1.8831593504532138,-0.6364665938779016,2.3108260042016746,0.20801469310532889,-1.898268103518446,-2.2666534228043735,3.043301748227819,0.8624147133578925
