"Donor","organ","measurement"
"Donor648","Vagina",0.0794528342883778
"Donor649","Ovary",0.874327541752295
"Donor650","Uterus",0.59121006315476
"Donor651","Vagina",0.671674278414096
"Donor652","Ovary",0.778284552005621
"Donor653","Uterus",NA
"Donor654","Vagina",0.953399928799574
"Donor655","Ovary",0.771926561991374
"Donor656","Uterus",0.616288433276603
"Donor657","Vagina",0.507823112145808
"Donor658","Ovary",0.105691651436427
"Donor659","Uterus",0.384133150180181
"Donor660","Vagina",0.526955177123329
"Donor661","Ovary",0.516130602953059
"Donor662","Uterus",NA
"Donor663","Vagina",0.649643903192102
"Donor664","Ovary",0.366727530620992
"Donor665","Uterus",0.0390726647262151
"Donor666","Vagina",0.447544620616232
"Donor667","Ovary",0.172558557230889
"Donor668","Uterus",0.198260873459871
"Donor669","Vagina",0.227849607082183
"Donor670","Ovary",0.438736889433737
"Donor671","Uterus",NA
"Donor672","Vagina",0.434592809437112
"Donor673","Ovary",0.731210673848788
"Donor674","Uterus",0.619599849283695
"Donor675","Vagina",0.941824511135066
"Donor676","Ovary",0.211842661278079
"Donor677","Uterus",0.0722214717291839
"Donor678","Vagina",0.154011805833358
"Donor679","Ovary",NA
"Donor680","Uterus",0.0140040910234718
"Donor681","Vagina",NA
"Donor682","Ovary",0.505028855055571
"Donor683","Uterus",0.0795847745376909
"Donor684","Vagina",0.47778179149232
"Donor685","Ovary",0.394110296007344
"Donor686","Uterus",NA
"Donor687","Vagina",0.386571469263955
"Donor688","Ovary",0.560839507824858
"Donor689","Uterus",0.0256620846357691
"Donor690","Vagina",0.465823995551064
"Donor691","Ovary",0.61106636941433
"Donor692","Uterus",0.870928886532784
"Donor693","Vagina",0.892212121643954
"Donor694","Ovary",0.282909492826245
"Donor695","Uterus",0.0654159457201156
"Donor696","Vagina",0.347891481591072
"Donor697","Ovary",0.207034844168117
"Donor698","Uterus",NA
"Donor699","Vagina",0.382709741989495
"Donor700","Ovary",NA
"Donor701","Uterus",0.0704213642841205
"Donor702","Vagina",0.070635792203014
"Donor703","Ovary",0.913135095076127
"Donor704","Uterus",0.944707038402557
"Donor705","Vagina",0.820423172804571
"Donor706","Ovary",0.824065861105919
"Donor707","Uterus",0.392368538687671
"Donor708","Vagina",0.629669878946627
"Donor709","Ovary",0.625365967767917
"Donor710","Uterus",0.760866526733426
"Donor711","Vagina",0.561111072638541
"Donor712","Ovary",0.568471637826102
"Donor713","Uterus",0.290019715487558
"Donor714","Vagina",0.641497579116481
"Donor715","Ovary",0.734733563504721
"Donor716","Uterus",0.190250583342277
"Donor717","Vagina",0.793410390782267
"Donor718","Ovary",0.641074059738053
"Donor719","Uterus",0.201920890827231
"Donor720","Vagina",0.525750894115937
"Donor721","Ovary",0.754232424956102
"Donor722","Uterus",0.595989731641916
"Donor723","Vagina",0.882828146023186
"Donor724","Ovary",0.526284926740283
"Donor725","Uterus",0.377917488308057
"Donor726","Vagina",0.329274479859556
"Donor727","Ovary",0.885623924872454
"Donor728","Uterus",0.959368959717129
"Donor729","Vagina",0.821300120092928
"Donor730","Ovary",0.634811981371604
"Donor731","Uterus",0.129600120374285
"Donor732","Vagina",0.266474933818972
"Donor733","Ovary",0.842768940788049
"Donor734","Uterus",NA
"Donor735","Vagina",0.959533920884132
"Donor736","Ovary",0.903714004904032
"Donor737","Uterus",0.953530659801082
"Donor738","Vagina",0.831324808547894
"Donor739","Ovary",0.880735984870366
"Donor740","Uterus",0.913640198551796
"Donor741","Vagina",0.974226061416709
"Donor742","Ovary",0.792270069122314
"Donor743","Uterus",NA
